asof,ticker,pe_ratio,pb_ratio,ps_ratio,ev_ebitda,fcf_yield,roe,gross_margin,net_margin,net_debt_ebitda,revenue_growth,earnings_growth,market_cap
2026-08-25,A,31.96458,6.0798063,5.991915,22.367,0.0214758648231599,0.21330999,0.52641,0.19552,0.8610421880363771,0.1,0.6,43333529600.0
2026-08-30,A,30.283464,6.459794,5.8841047,21.71,0.024718965882737313,0.20971,0.53825,0.19533001,1.0438303331085559,0.081,0.085,43377623040.0
2026-08-25,AAPL,35.467426,42.16576,9.702088,27.097,0.0237840851290642,1.4875101,0.48653,0.27618998,0.1306568592945902,0.164,0.287,4529157832704.0
2026-08-30,AAPL,36.62085,43.4375,9.994708,27.91,0.02308774712812232,1.4875101,0.48653,0.27618998,0.13065685929459028,0.164,0.287,4665759498240.0
2026-08-25,ABBV,74.51267,-78.749626,7.25993,17.287,0.0360908955517992,,0.72792,0.098000005,2.0906933534900083,0.102,2.904,467437846528.0
2026-08-30,ABBV,72.994286,-76.05835,7.0118213,16.768,0.0373679483255418,,0.72792,0.098000005,2.0906933534900083,0.102,2.904,451463118848.0
2026-08-25,ABNB,43.42694,14.389137,8.655294,37.15,0.0281564093585354,0.34542,0.82901,0.2045,-3.4672221709171382,0.165,0.334,113895022592.0
2026-08-30,ABNB,43.248856,14.330131,8.6198015,36.984,0.028272348102044268,0.34542,0.82901,0.2045,-3.4672221709171382,0.165,0.334,113427963904.0
2026-08-25,ABT,37.757282,3.949961,4.333666,19.66,0.035709273632364,0.10576,0.56847,0.116450004,2.321462043316925,0.13,-0.475,201883828224.0
2026-08-30,ABT,36.39806,3.8077664,4.205253,19.038,0.036799702004500834,0.10576,0.56847,0.116450004,2.3214620433169255,0.13,-0.475,195901718528.0
2026-08-25,ACGL,7.7740197,1.4804298,1.7945046,6.293,0.1246562327908699,0.19936001,0.38758,0.24396999,-0.0319856003340098,-0.105,-0.071,34511912960.0
2026-08-30,ACGL,7.727912,1.4467636,1.7525187,6.153,0.1276426886760208,0.19936001,0.38758,0.24396999,-0.03198560033400984,-0.105,-0.071,33704437760.0
2026-08-25,ACN,14.792229,3.5787878,1.5614861,8.806,0.1059119690674119,0.24406,0.32013,0.10656,-0.137734033374582,0.056,0.09,114145558528.0
2026-08-30,ACN,15.156674,3.6378813,1.5872695,8.951,0.10419154806669934,0.24406,0.32013,0.10656,-0.13773403337458204,0.056,0.09,116030341120.0
2026-08-25,ADBE,15.750854,9.570443,4.358176,11.437,0.0839428093903704,0.62953997,0.89404,0.28689,0.1491417672098353,0.127,0.079,109817323520.0
2026-08-30,ADBE,16.526077,10.098728,4.598746,12.06,0.07955159129357156,0.62953997,0.89404,0.28689,0.14914176720983538,0.127,0.079,115879198720.0
2026-08-25,ADI,44.23957,5.3746023,,26.969,,0.12227,0.65800005,0.29787,0.987927541805649,0.396,1.635,
2026-08-30,ADI,42.915775,5.22509,12.628535,26.311,0.023657699803314725,0.12227,0.65800005,0.29787,0.987927541805649,0.396,1.635,175306096640.0
2026-08-25,ADM,21.955057,1.5981352,0.4588358,15.432,0.0309165438608432,0.07642,0.0687,0.021559998,2.754257100409865,0.072,3.156,37669961728.0
2026-08-30,ADM,22.278688,1.667246,0.47867495,15.976,0.029635177584507993,0.07642,0.0687,0.021559998,2.754257100409865,0.072,3.156,39298736128.0
2026-08-25,ADP,25.634964,18.666975,5.122672,17.737,0.0466341814261494,0.72239,0.48653,0.20109,0.2003680758672323,0.068,0.098,112429334528.0
2026-08-30,ADP,26.253883,18.961811,5.2035823,18.014,0.045909071280990844,0.72239,0.48653,0.20109,0.20036807586723235,0.068,0.098,114205097984.0
2026-08-25,ADSK,37.033478,16.833399,7.155931,25.004,0.0569810926388072,0.50396,0.92434,0.19488001,-0.093501633481017,0.184,2.314,53719572480.0
2026-08-30,ADSK,35.0821,16.180012,7.065099,23.676,0.05887162878176994,0.53854,0.92503,0.21078,-0.1962495161622194,0.161,0.596,55037120512.0
2026-08-25,AEE,18.866198,2.167169,3.5271103,13.195,-0.0602109607687851,0.11943,0.52408004,0.18583,5.574424631834693,-0.062,0.119,29666525184.0
2026-08-30,AEE,18.6831,2.1461363,3.4928794,13.121,-0.060801044027604556,0.11943,0.52408004,0.18583,5.574424631834693,-0.062,0.119,29378607104.0
2026-08-25,AEP,20.958763,2.0699487,2.913676,13.35,-0.090292847351792,0.10130999,0.46352002,0.13781999,5.8613355927149815,0.07,-0.432,66405593088.0
2026-08-30,AEP,21.197573,2.0755484,2.9215586,13.37,-0.09004923240496543,0.10130999,0.46352002,0.13781999,5.8613355927149815,0.07,-0.432,66585243648.0
2026-08-25,AES,5.5243444,2.1284273,0.80612993,12.161,-0.2935532212947846,0.095740005,0.2027,0.1434,7.638820304233661,0.199,,10523219968.0
2026-08-30,AES,5.516854,2.1255412,0.8047198,12.157,-0.2940676101606787,0.095740005,0.2027,0.1434,7.638820304233661,0.199,,10504812544.0
2026-08-25,AFL,12.521187,1.95851,3.2795825,10.965,0.0869449230083342,0.16908,0.50888,0.26908,1.1938994249644788,-0.01,0.468,59258777600.0
2026-08-30,AFL,12.569578,1.9306732,3.232969,10.826,0.08819851148291122,0.16908,0.50888,0.26908,1.1938994249644788,-0.01,0.468,58416517120.0
2026-08-25,AIG,13.89228,0.9999224,1.5132006,4.802,0.1820250197174834,0.0722,0.35087,0.11089,-0.1679351226977284,0.005,-0.101,40461471744.0
2026-08-30,AIG,14.0383215,0.9941074,1.5044008,4.773,0.18308975614415177,0.0722,0.35087,0.11089,-0.16793512269772842,0.005,-0.101,40226172928.0
2026-08-25,AIZ,13.608038,2.3307474,1.0549691,8.272,0.1514225149854023,0.18341999,0.13272999,0.07903,0.1002821143232815,0.094,0.305,14195873792.0
2026-08-30,AIZ,13.680555,2.313255,1.0470514,8.211,0.15256753432179324,0.18341999,0.13272999,0.07903,0.10028211432328153,0.094,0.305,14089333760.0
2026-08-25,AJG,43.658104,2.9392884,4.6146126,19.231,0.0298656734618656,0.06722,0.43186,0.10378,2.966418,0.309,-0.107,69722185728.0
2026-08-30,AJG,43.085346,2.891415,4.539453,18.966,0.03036016080300636,0.06722,0.43186,0.10378,2.966418,0.309,-0.107,68586594304.0
2026-08-25,AKAM,40.022728,3.195041,3.5127645,19.602,0.0467603244127109,0.08918,0.57452,0.09507,5.540893403501344,0.054,-0.268,15185097728.0
2026-08-30,AKAM,38.938408,3.2497733,3.5729396,19.843,0.04597279232753044,0.08918,0.57452,0.09507,5.540893403501344,0.054,-0.268,15445224448.0
2026-08-25,ALB,524.1111,2.0767536,2.8265345,13.194,0.0799059025796329,0.02648,0.23959999,0.03795,0.2477286540101879,0.311,19.962,16698894336.0
2026-08-30,ALB,508.74072,2.0158498,2.743642,12.864,0.0823200602655637,0.02648,0.23959999,0.03795,0.2477286540101879,0.311,19.962,16209174528.0
2026-08-25,ALGN,28.254868,2.6872253,2.739634,11.383,0.051527333672054,0.10155,0.70365,0.09991,-1.0787715108856932,0.043,-0.121,11340803072.0
2026-08-30,ALGN,27.645615,2.6525493,2.7042816,11.222,0.05220094007641723,0.10155,0.70365,0.09991,-1.0787715108856932,0.043,-0.121,11194460160.0
