ticker,last_close,history_days,mom_1m,mom_3m,mom_6m,mom_12m_1m,above_ma50,above_ma200,rsi14,macd_hist,volatility,dollar_volume,dist_52w_high,pe_ratio,pb_ratio,ps_ratio,ev_ebitda,fcf_yield,roe,gross_margin,net_margin,net_debt_ebitda,revenue_growth,earnings_growth,market_cap,last_earnings_date,earnings_surprise_pct,days_since_earnings,sector,name,missing_fundamentals,exclude_reason,eligible,z_pe_ratio,z_pb_ratio,z_ev_ebitda,z_ps_ratio,z_fcf_yield,z_roe,z_gross_margin,z_net_margin,z_revenue_growth,z_earnings_growth,z_mom_3m,z_mom_6m,z_mom_12m_1m,z_above_ma200,z_above_ma50,z_dist_52w_high,z_earnings_surprise_pct,z_volatility,z_rsi14,z_macd_hist,block_value,block_quality,block_growth,block_momentum,block_earnings,block_risk,block_technical,composite,blocks_used,rank
SNDK,1692.5899658203125,395,0.3316469854045765,0.03003839142314213,1.5824115233273721,17.026521207195024,0.10927750538879355,0.6488827854478083,57.338333539213934,0.014672010892221561,1.3626695552603674,21088727402.773438,-0.2751220703125,23.583628,16.475557,12.582431,19.831,0.0303053859935806,0.9164,0.71474,0.56465,-0.3614963854431139,3.716,,254769070080.0,2026-08-05,13.72,37.0,Information Technology,Sandisk,1,,True,0.2817455448414517,-0.8311551641411483,-0.12544120102007783,-1.707660529491021,-0.3997365156087384,1.9685350142173668,1.1219727746207655,3.0837518045070755,4.120745224686987,,-0.09172302414463764,3.9503391768095484,4.0408062232861095,2.883687101581454,1.9334300228637642,-0.8432400469311815,0.08036885848301029,-3.363908912256145,-1.518023788947796,2.390266647190162,-0.5564495730839067,2.058086531115069,4.120745224686987,1.9788832422441758,0.08036885848301029,-3.363908912256145,0.4361214291211829,1.0775718595775468,7.0,1.0
MU,977.4099731445312,458,0.12537414355981147,0.09606705947133931,1.3357877221340742,5.432372165264645,0.05126758861951375,0.5813340192011565,53.28963722052742,0.006227884624536356,0.936913961572323,25830989680.759583,-0.19446893874268045,22.98937,11.394834,12.718278,16.541,0.0066538643675149,0.66638,0.72569,0.55906,-0.287971626575836,3.457,13.685,1148129771520.0,2026-06-24,21.39,79.0,Information Technology,Micron Technology,0,,True,0.30028633512993286,-0.3234149337125726,0.14706231394219532,-1.7371799732980735,-1.0776084508582102,1.1903039264013195,1.1681251054748722,3.0837518045070755,4.120745224686987,3.847087761177096,0.4044975663877488,3.9503391768095484,4.0408062232861095,2.883687101581454,1.050111487815222,-0.17215270091889387,0.47576110692961193,-3.363908912256145,-1.0691403524004426,1.5825022553170969,-0.5381709417593455,1.8140602787944224,3.9839164929320416,2.0262148091601984,0.47576110692961193,-3.363908912256145,0.25668095145832714,1.0754262413445401,7.0,2.0
VLO,385.42999267578125,458,0.18989249412886178,0.4997462972038307,0.6825702201096382,1.0440446861575632,0.1971651923866513,0.5982526793875671,77.0953090951565,0.0049786018941142185,0.34085259520807276,859522552.0838928,-0.009050056358852476,15.453106,4.269492,0.80601424,8.482,0.0788489607164845,0.27637,0.16118999,0.05446,0.2597354239393575,0.517,4.535,106740465664.0,2026-07-30,23.84,43.0,Energy,Valero Energy,0,,True,0.5354170197528237,0.3886535630274404,0.814571683875618,0.8513453579798302,0.9915620004696966,-0.023670581874564427,-1.2111434998828257,-0.8077308245708147,1.9229823981796361,3.847087761177096,2.4949634453338216,2.082578991023376,1.579169699973441,2.883687101581454,2.678251996438533,1.3706549155691214,0.602059804282177,0.2049184996151264,-2.4203769210840202,1.4074685864696133,0.7163099250210818,-0.6808483021094016,2.8850350796783664,2.1815510249866246,0.602059804282177,0.2049184996151264,-0.5064541673072035,1.006994826736307,7.0,3.0
MPC,392.4200134277344,458,0.1696524803412569,0.49458569731441515,0.7420669571958816,0.8621317009466736,0.18981293640015484,0.6123825136426813,73.4171777105645,0.0017931128913143731,0.33199280414155163,875857837.0115662,-0.01757457683448127,13.475398,5.769173,0.7365365,9.247,0.0814677758015462,0.42099,0.12819,0.05549,1.7226732764335084,0.537,3.48,113534156800.0,2026-08-04,27.08,38.0,Energy,Marathon Petroleum,0,,True,0.5971213119623547,0.2387834802637555,0.751208404560682,0.8664428149849243,1.066619380617909,0.4264845253966807,-1.35023267400723,-0.7994163944836795,2.029185298851684,2.8792293196274863,2.4949634453338216,2.298170614575784,1.2180965123976655,2.883687101581454,2.678251996438533,1.299725272656684,0.7690833877198547,0.2617953208038214,-2.4203769210840202,0.961158224807154,0.704035078477925,-0.5743881810314097,2.4542073092395853,2.1454824904973235,0.7690833877198547,0.2617953208038214,-0.7296093481384331,0.9735186611576939,7.0,4.0
DELL,506.6199951171875,458,0.14887632654092253,0.3721362898524514,2.4540769103129145,2.6819957180955565,0.13623275909300014,0.9566553801456441,57.67852956493698,0.011266871855647587,0.7863980722123878,4110914637.173004,-0.05348903294313401,30.490984,-236.953,2.2399192,20.624,0.0005122995042927,,0.19893,0.07525,1.3082505782306315,0.577,2.729,338669076480.0,2026-09-01,43.14,10.0,Information Technology,Dell Technologies,1,,True,0.06623672704870547,,-0.1911236591857564,0.5397589637909704,-1.2536307180557869,,-1.052075972215491,-0.6399084930062108,2.2415911001957785,2.150034205659029,2.4792211762528007,3.9503391768095484,4.0408062232861095,2.883687101581454,2.343878383073628,1.0008932674472368,1.5969842364880977,-2.6553307135705166,-1.5557416983947203,2.2885013064998443,-0.20968967160046684,-0.8459922326108509,2.195812652927404,2.783137554741796,1.5969842364880977,-2.6553307135705166,0.366379804052562,0.9430482834980047,7.0,5.0
TRV,367.55999755859375,458,-0.01808601791122655,0.2157723883674254,0.23700263079379313,0.3949396173063695,0.009399346843302903,0.18078098158523526,51.59588039343553,-0.0018497501562848326,0.28122073107655315,545098442.003479,-0.07150521047500591,9.931434,2.3262038,1.5728614,7.06,0.1917921245459223,0.26511,0.34730998,0.16951999,0.3490418018545816,0.003,0.571,77037182976.0,2026-07-17,86.12,56.0,Financials,Travelers Companies (The),0,,True,0.7076926350474906,0.5828553721906504,0.9323528383669105,0.6847100870631527,3.168541407158906,-0.05871930617185538,-0.4266803622533174,0.12106358579955658,-0.8064321490919845,0.05469058922236973,1.3041105791980416,0.46802591320179704,0.2907820897652629,0.9528717243287671,0.4125826642881769,0.850986766238617,3.8126242414730966,0.587734623369246,-0.8813516605908266,0.45076640652374683,1.215230467965422,-0.12144536087520541,-0.3758707799348074,0.7132266228367771,3.8126242414730966,0.587734623369246,-0.21529262703353988,0.8512467115675388,7.0,6.0
PSX,258.510009765625,458,0.15832623867532591,0.4301236155307886,0.54435881948525,0.736973377780892,0.18114801124751456,0.49917162523802805,74.01948836808964,0.0004971210149335734,0.3025334249382081,672186949.7777557,-0.008704613176998333,14.559931,3.2307048,0.6689114,12.035,0.0446560842792226,0.23452999,0.13098,0.046609998,1.6590428019610863,0.531,3.449,101786247168.0,2026-08-05,25.45,37.0,Energy,Phillips 66,0,,True,0.5632839906070893,0.4924643892217153,0.5202844532795824,0.8811376948085223,0.0115662230847641,-0.1539049491113227,-1.3384733129950876,-0.8710980991464187,1.9973244286500695,2.8491293881587483,2.4949634453338216,1.5817579088374467,0.9696738137941655,2.883687101581454,2.678251996438533,1.3727244227462065,0.6850560911138626,0.4509144355434481,-2.4203769210840202,0.7795802621927064,0.4937473502003348,-0.7878254537509429,2.423226908404409,1.9968431147886045,0.6850560911138626,0.4509144355434481,-0.8203983294456569,0.8478278064235496,7.0,7.0
HPE,55.220001220703125,458,0.015446857964120486,0.21744463313480478,1.6009641770692742,1.3246534518648492,0.08818175758782987,0.6397862863820325,53.951759901706104,0.0012771332079875464,0.5918022570263284,1240171732.9406548,-0.07689733362735374,26.804123,2.7206612,1.6485914,12.075,0.0686477011235075,0.10936,0.36622003,0.06666,2.047169765752936,0.337,4.102,69028167680.0,2026-09-02,18.41,9.0,Information Technology,Hewlett Packard Enterprise,0,,True,0.1812664222716218,0.5434354134229206,0.5169713406356642,0.6682540189901877,0.6991855651771542,-0.5435184899465507,-0.34697781576311587,-0.7092492254804748,0.9671562921312087,3.4831698800647444,1.3166778823182255,3.9503391768095484,2.1361409430002887,2.883687101581454,1.6122045138285772,0.8061207387794355,0.3221406505579205,-1.4060922945936931,-1.1425506260165827,0.8888656885988451,0.5218225520995097,-0.5332485103967138,2.2251630860979765,2.117528392719588,0.3221406505579205,-1.4060922945936931,-0.12684246870886884,0.8105270670347311,7.0,8.0
CNC,65.4000015258789,458,0.008014862738508155,0.0009183530968992493,0.8237590745327581,1.0888602179327007,-0.001901547821547278,0.28823338016632816,50.25786227342584,-0.0012967389502030475,0.37356221396003064,254340279.5704651,-0.04831198538780013,12.6192465,1.4678257,0.18367548,4.833,0.2910740950036665,-0.20358999,0.11415,-0.02829,-2.3777681736095686,0.046,,33117425664.0,2026-07-28,132.64,45.0,Health Care,Centene Corporation,1,,True,0.6238331533118503,0.6686370796934691,1.0720286977655364,0.9479715732350518,3.168541407158906,-1.1746657075170606,-1.40940881329414,-1.4757105233188177,-0.5780959126470824,,-0.31056679370282886,2.594189137113606,1.6681225962836912,1.671089136524601,0.2405036426995844,1.043969723828609,4.196860964161699,-0.005066038726363255,-0.7330041124923243,0.528247330542891,1.2962023822329627,-1.353261681376673,-0.5780959126470824,1.1512179071245439,4.196860964161699,-0.005066038726363255,-0.10237839097471668,0.7994794227521653,7.0,9.0
GOOG,330.3900146484375,458,-0.03613846418471578,-0.06429152854457854,0.07257465690147535,0.432325975299936,-0.04351277818696775,-0.013699950854494491,41.124399503061895,-0.0019603780232477657,0.35965468821108043,5173347368.497314,-0.17100173055423684,16.83283,6.5881405,9.197426,23.083,0.0055269442762867,0.48676,0.60897,0.54771,-0.7027037421946938,0.242,2.94,4100819517440.0,2026-07-22,212.9,51.0,Communication Services,Alphabet Inc. (Class C),0,,True,0.49236976865989046,0.1569402569344155,-0.3947972589706287,-0.9721016663281086,-1.1099069014691212,0.6312051823267721,0.6761707623432391,3.0837518045070755,0.462692513938983,2.3549079327526967,-0.8006340165197616,-0.12779321209733097,0.3649890598555874,-0.34704892763212125,-0.3931116612860856,0.023109977107033615,4.196860964161699,0.08421550857662656,0.279633001586996,0.4352666313649639,-0.3654991602347105,1.4637092497256956,1.4088002233458399,-0.21341479676211308,4.196860964161699,0.08421550857662656,0.35744981647597995,0.7825314459518935,7.0,10.0
